"StationName","StationLocation","DateTime","RecordId","RoadSurfaceTemperature","AirTemperature"
"RooseveltWay_NE80thSt","POINT (-122.31765 47.692098)","2026 Apr 15 10:26:00 AM","7030793","44.86","44.86"
"RooseveltWay_NE80thSt","POINT (-122.31765 47.692098)","2026 Apr 15 10:27:00 AM","7030794","44.85","44.85"
"RooseveltWay_NE80thSt","POINT (-122.31765 47.692098)","2026 Apr 15 10:28:00 AM","7030795","44.85","44.85"
"RooseveltWay_NE80thSt","POINT (-122.31765 47.692098)","2026 Apr 15 10:29:00 AM","7030796","44.85","44.85"
"RooseveltWay_NE80thSt","POINT (-122.31765 47.692098)","2026 Apr 15 10:30:00 AM","7030797","44.87","44.87"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 10:16:00 AM","6585822","45.32","38.88"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 10:17:00 AM","6585823","45.32","38.97"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 10:18:00 AM","6585824","45.32","39.01"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 10:19:00 AM","6585825","45.32","39.10"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 10:20:00 AM","6585826","45.32","39.24"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 10:21:00 AM","6585827","45.32","39.21"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 14 10:16:00 AM","6584382","50.25","46.79"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 14 10:17:00 AM","6584383","50.25","46.66"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 14 10:18:00 AM","6584384","50.26","46.80"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 14 10:19:00 AM","6584385","50.27","46.75"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 14 10:20:00 AM","6584386","50.29","46.74"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 14 10:21:00 AM","6584387","50.29","46.81"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 14 10:22:00 AM","6584388","50.29","46.88"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 14 10:23:00 AM","6584389","50.29","46.96"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 14 10:24:00 AM","6584390","50.29","47.13"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 14 10:25:00 AM","6584391","50.30","46.80"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 14 10:26:00 AM","6584392","50.32","46.76"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 14 10:27:00 AM","6584393","50.33","46.95"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 14 10:28:00 AM","6584394","50.33","47.12"
